Total words counted: 900991
 Rank                     Word     Count     Percentage               
    1                      the     27643     0.030680661627030682     
    2                      and     26728     0.029665113192029666     
    3                        i     20681     0.022953614409022955     
    4                       to     19198     0.021307649022021306     
    5                       of     18173     0.02017001279702017      
    6                        a     14613     0.016218807957016218     
    7                      you     13649     0.015148874961015149     
    8                       my     12480     0.013851414720013852     
    9                     that     11121     0.012343075569012343     
   10                       in     10967     0.012172152663012172     
   11                       is      9598     0.010652714622010652     
   12                      not      8725     0.009683781525009684     
   13                      for      8244     0.00914992491600915      
   14                     with      7996     0.008874672444008875     
   15                       me      7768     0.008621617752008622     
   16                       it      7690     0.008535046410008535     
   17                       be      7090     0.007869113010007868     
   18                     your      6881     0.007637146209007637     
   19                      his      6857     0.007610508873007611     
   20                     this      6847     0.0075994099830075995    
   21                      but      6270     0.006959004030006959     
   22                       he      6251     0.006937916139006938     
   23                       as      5958     0.006612718662006613     
   24                     have      5887     0.006533916543006534     
   25                     thou      5485     0.006087741165006088     
   26                       so      5268     0.005846895252005847     
   27                      him      5192     0.005762543688005763     
   28                     will      4979     0.005526137331005526     
   29                     what      4465     0.004955654385004955     
   30                       by      4412     0.0048968302680048965    
   31                      thy      4032     0.004475072448004475     
   32                      all      3887     0.004314138543004314     
   33                      are      3851     0.004274182539004274     
   34                      her      3843     0.004265303427004265     
   35                       no      3796     0.004213138644004213     
   36                       do      3754     0.0041665233060041666    
   37                    shall      3591     0.003985611399003985     
   38                       if      3503     0.003887941167003888     
   39                       we      3306     0.0036692930340036694    
   40                     thee      3178     0.0035272272420035274    
   41                       or      3123     0.003466183347003466     
   42                      our      3068     0.003405139452003405     
   43                     lord      3059     0.003395150451003395     
   44                       on      3051     0.0033862713390033863    
   45                     king      2861     0.0031753924290031754    
   46                     good      2812     0.003121007868003121     
   47                      now      2779     0.0030843815310030846    
   48                      sir      2754     0.0030566343060030566    
   49                     from      2646     0.002936766294002937     
   50                        o      2608     0.0028945905120028948    
   51                       at      2509     0.002784711501002785     
   52                     come      2507     0.0027824917230027824    
   53                     they      2471     0.0027425357190027427    
   54                    which      2316     0.0025705029240025703    
   55                    would      2295     0.0025471952550025472    
   56                     more      2291     0.0025427556990025428    
   57                      was      2229     0.002473942581002474     
   58                     then      2222     0.002466173358002466     
   59                      she      2208     0.0024506349120024507    
   60                       am      2168     0.002406239352002406     
   61                      how      2160     0.002397360240002397     
   62                     well      2151     0.0023873712390023874    
   63                     here      2114     0.0023463053460023465    
   64                      let      2099     0.00232965701100233      
   65                    enter      2098     0.0023285471220023286    
   66                    their      2077     0.002305239453002305     
   67                     love      2053     0.0022786021170022788    
   68                     when      2051     0.0022763823390022763    
   69                     them      1980     0.0021975802200021976    
   70                     hath      1941     0.0021542945490021542    
   71                     than      1881     0.0020877012090020877    
   72                      may      1865     0.00206994298500207      
   73                       an      1836     0.002037756204002038     
   74                      man      1835     0.0020366463150020366    
   75                    there      1808     0.0020066793120020066    
   76                      one      1787     0.0019833716430019835    
   77                     i'll      1742     0.0019334266380019334    
   78                       go      1734     0.0019245475260019245    
   79                     upon      1731     0.0019212178590019213    
   80                     like      1703     0.0018901409670018902    
   81                      say      1680     0.0018646135200018647    
   82                     know      1647     0.001827987183001828     
   83                     make      1629     0.001808009181001808     
   84                      did      1626     0.0018046795140018047    
   85                       us      1620     0.001798020180001798     
   86                     such      1615     0.0017924707350017925    
   87                     were      1577     0.0017502949530017503    
   88                   should      1576     0.001749185064001749     
   89                      yet      1569     0.0017414158410017414    
   90                     must      1492     0.001655954388001656     
